date,Month.Numeric,Month.Factor,Year,Wrangler.Sales,Elantra.Sales,Unemployment.Rate,Wrangler.Queries,Elantra.Queries,CPI.All,CPI.Energy
1/1/2010,1,January,2010,4888,7690,9.8,31,7,217.488,212.807
2/1/2010,2,February,2010,5967,7966,9.8,32,8,217.281,209.624
3/1/2010,3,March,2010,8410,8225,9.9,34,9,217.353,209.326
4/1/2010,4,April,2010,8327,9657,9.9,36,9,217.403,209.219
5/1/2010,5,May,2010,9634,9781,9.6,36,9,217.29,206.631
6/1/2010,6,June,2010,8923,14245,9.4,37,9,217.199,203.764
7/1/2010,7,July,2010,10043,18215,9.4,41,10,217.605,206.877
8/1/2010,8,August,2010,7666,15181,9.5,37,10,217.923,208.77
9/1/2010,9,September,2010,7765,10062,9.5,35,9,218.275,209.832
10/1/2010,10,October,2010,7908,9497,9.4,32,9,219.035,216.71
11/1/2010,11,November,2010,6552,8631,9.8,37,10,219.59,219.496
12/1/2010,12,December,2010,8227,13096,9.3,34,11,220.472,227.13
1/1/2011,1,January,2011,6444,9659,9.1,39,14,221.187,229.258
2/1/2011,2,February,2011,7636,12289,9,41,20,221.898,232.068
3/1/2011,3,March,2011,8807,19255,9,40,21,223.046,240.079
4/1/2011,4,April,2011,9051,22100,9.1,41,22,224.093,247.977
5/1/2011,5,May,2011,10008,20006,9,42,21,224.806,250.744
6/1/2011,6,June,2011,11290,19992,9.1,48,22,224.806,245.534
7/1/2011,7,July,2011,14355,15181,9,52,21,225.395,246.187
8/1/2011,8,August,2011,12949,15054,9,49,19,226.106,246.88
9/1/2011,9,September,2011,11388,14386,9,46,16,226.597,248.55
10/1/2011,10,October,2011,9892,13000,8.8,43,15,226.75,246.655
11/1/2011,11,November,2011,9225,12414,8.6,45,14,227.169,247.64
12/1/2011,12,December,2011,11415,13025,8.5,42,13,227.223,243.353
1/1/2012,1,January,2012,7896,10900,8.3,44,15,227.842,244.876
2/1/2012,2,February,2012,9319,13820,8.3,46,17,228.329,248.898
3/1/2012,3,March,2012,12557,19681,8.2,49,17,228.807,249.742
4/1/2012,4,April,2012,12184,16836,8.2,50,16,229.187,249.677
5/1/2012,5,May,2012,14454,18877,8.2,53,16,228.713,241.806
6/1/2012,6,June,2012,14461,17655,8.2,57,17,228.524,235.897
7/1/2012,7,July,2012,12216,18512,8.2,58,17,228.59,233.568
8/1/2012,8,August,2012,13293,17989,8.1,55,17,229.918,244.987
9/1/2012,9,September,2012,12097,18305,7.8,52,17,231.015,252.987
10/1/2012,10,October,2012,11310,14512,7.8,43,14,231.638,256.017
11/1/2012,11,November,2012,10337,15923,7.7,43,13,231.249,248.819
12/1/2012,12,December,2012,11545,19024,7.9,43,12,231.221,244.708
1/1/2013,1,January,2013,8854,12174,8,46,13,231.679,245.025
2/1/2013,2,February,2013,10091,16219,7.7,49,14,232.937,255.696
3/1/2013,3,March,2013,12901,26153,7.5,53,16,232.282,246.595
4/1/2013,4,April,2013,13445,24445,7.6,54,15,231.797,240.473
5/1/2013,5,May,2013,16272,25090,7.5,59,15,231.893,240.468
6/1/2013,6,June,2013,16165,22163,7.5,61,16,232.445,242.711
7/1/2013,7,July,2013,14404,23958,7.3,62,16,232.9,242.986
8/1/2013,8,August,2013,15825,24700,7.3,59,16,233.456,244.833
9/1/2013,9,September,2013,11984,19691,7.2,53,15,233.544,242.745
10/1/2013,10,October,2013,11780,14876,7.2,47,13,233.669,241.954
11/1/2013,11,November,2013,11753,16751,6.9,49,13,234.1,242.718
12/1/2013,12,December,2013,12028,21692,6.7,47,13,234.719,245.733
1/1/2014,1,January,2014,9553,15326,6.6,53,14,235.288,250.34
2/1/2014,2,February,2014,10640,16393,6.7,58,14,235.547,249.925
3/1/2014,3,March,2014,14481,21518,6.7,61,15,236.028,249.961
4/1/2014,4,April,2014,15389,20225,6.2,63,15,236.468,249.864
5/1/2014,5,May,2014,19235,21867,6.3,68,15,236.918,249.213
6/1/2014,6,June,2014,16439,17168,6.1,70,16,237.231,249.714
7/1/2014,7,July,2014,16388,22213,6.2,74,16,237.498,248.744
8/1/2014,8,August,2014,17988,22845,6.2,67,16,237.46,245.699
9/1/2014,9,September,2014,13955,18848,5.9,61,14,237.477,241.61
10/1/2014,10,October,2014,13665,12758,5.7,57,14,237.43,237.061
11/1/2014,11,November,2014,13592,14002,5.8,55,13,236.983,229.016
12/1/2014,12,December,2014,14003,18860,5.6,53,14,236.252,218.536
1/1/2015,1,January,2015,11683,12240,5.7,57,14,234.718,199.471
2/1/2015,2,February,2015,12911,15708,5.5,62,14,235.236,202.079
3/1/2015,3,March,2015,17524,28794,5.4,69,17,236.005,206.148
4/1/2015,4,April,2015,18849,21911,5.4,70,16,236.156,202.898
5/1/2015,5,May,2015,22324,23432,5.5,76,16,236.974,209.12
6/1/2015,6,June,2015,19159,26613,5.3,79,18,237.684,212.476
7/1/2015,7,July,2015,19320,22135,5.2,84,19,238.053,212.324
8/1/2015,8,August,2015,18160,22405,5.1,85,19,238.028,208.87
9/1/2015,9,September,2015,17583,20724,5,74,17,237.506,197.324
10/1/2015,10,October,2015,15751,15868,5,67,16,237.781,196.014
11/1/2015,11,November,2015,13847,17634,5,62,15,238.016,194.365
12/1/2015,12,December,2015,15591,14242,5,61,15,237.817,190.299
1/1/2016,1,January,2016,10797,9885,4.9,73,17,237.833,186.122
2/1/2016,2,February,2016,13234,11973,4.9,78,18,237.469,176.407
3/1/2016,3,March,2016,17710,17505,5,79,18,238.038,181.074
4/1/2016,4,April,2016,19003,12361,5,82,18,238.827,185.405
5/1/2016,5,May,2016,19551,22168,4.7,87,19,239.464,188.401
6/1/2016,6,June,2016,20060,22414,4.9,92,20,240.167,193.068
7/1/2016,7,July,2016,18741,20629,4.9,90,20,240.15,190.089
8/1/2016,8,August,2016,15290,20733,4.9,84,21,240.602,189.795
9/1/2016,9,September,2016,14255,19382,4.9,79,19,241.051,191.772
10/1/2016,10,October,2016,14469,15917,4.8,72,18,241.691,195.824
11/1/2016,11,November,2016,12957,15796,4.6,70,17,242.029,195.519
12/1/2016,12,December,2016,15721,19556,4.7,71,17,242.772,200.266
1/1/2017,1,January,2017,11334,13185,4.8,76,18,243.78,206.048
2/1/2017,2,February,2017,13641,15954,4.7,78,20,243.961,203.17
3/1/2017,3,March,2017,16336,25063,4.5,82,20,243.749,201.526
4/1/2017,4,April,2017,18841,16346,4.4,86,20,244.051,202.399
5/1/2017,5,May,2017,19931,16407,4.3,87,20,243.962,198.596
6/1/2017,6,June,2017,18839,13297,4.3,94,21,244.182,198.265
7/1/2017,7,July,2017,18698,13287,4.3,96,22,244.39,197.349
8/1/2017,8,August,2017,16808,15127,4.4,89,22,245.297,202.338
9/1/2017,9,September,2017,15714,14401,4.2,80,19,246.418,211.137
10/1/2017,10,October,2017,13391,14733,4.1,76,19,246.587,207.771
11/1/2017,11,November,2017,13289,19060,4.1,82,18,247.332,213.134
12/1/2017,12,December,2017,13700,21350,4.1,81,19,247.901,214.055
1/1/2018,1,January,2018,11739,14017,4.1,77,20,248.884,217.542
2/1/2018,2,February,2018,15936,15724,4.1,82,20,249.369,218.955
3/1/2018,3,March,2018,27829,17323,4,85,21,249.498,215.801
4/1/2018,4,April,2018,29776,14044,3.9,89,21,249.956,217.69
5/1/2018,5,May,2018,25102,20762,3.8,97,22,250.646,220.967
6/1/2018,6,June,2018,23110,17858,4,98,22,251.134,222.361
7/1/2018,7,July,2018,21308,13753,3.9,100,24,251.597,222.269
8/1/2018,8,August,2018,20168,15474,3.8,92,24,251.879,223.341
9/1/2018,9,September,2018,15983,19923,3.7,80,21,252.01,221.077
10/1/2018,10,October,2018,13318,18312,3.8,75,21,252.794,225.612
11/1/2018,11,November,2018,15963,18148,3.7,76,20,252.76,219.295
12/1/2018,12,December,2018,19800,15076,3.9,76,20,252.723,213.565
1/1/2019,1,January,2019,13024,9942,4,78,23,252.673,206.842
2/1/2019,2,February,2019,15001,10304,3.8,80,23,253.113,207.755
3/1/2019,3,March,2019,21963,15866,3.8,86,25,254.148,214.963
4/1/2019,4,April,2019,22422,16586,3.6,87,24,254.958,221.286
5/1/2019,5,May,2019,24530,15733,3.6,89,25,255.155,219.937
6/1/2019,6,June,2019,20055,16540,3.7,96,26,255.305,214.847
7/1/2019,7,July,2019,19419,11579,3.7,95,26,256.166,217.721
8/1/2019,8,August,2019,21750,14305,3.7,93,26,256.3,213.48
9/1/2019,9,September,2019,17866,14614,3.5,82,23,256.358,210.589
10/1/2019,10,October,2019,17126,13583,3.6,74,23,257.271,216.282
11/1/2019,11,November,2019,17760,17322,3.5,70,23,257.936,218.009
12/1/2019,12,December,2019,17126,18720,3.5,67,21,258.501,221.114
